# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Wed Nov 29 14:25:17 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  where (pl_pnum = 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_hostname:    Host Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_pnum:        Number of Planets in System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbper:      Orbital Period [days],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbperlim:   Orbital Period Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbeccen:    Eccentricity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbincl:     Inclination [deg],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbincllim:  Inclination Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassj:      Planet Mass or M*sin(i)[Jupiter mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i)Upper Unc. [Jupiter mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i)Lower Unc. [Jupiter mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i)Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassprov:   Planet Mass or M*sin(i) Provenance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_radj:        Planet Radius [Jupiter radii],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter radii],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter radii],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_radjlim:     Planet Radius Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_mass:        Stellar Mass [Solar mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_masslim:     Stellar Mass Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_massblend:   Stellar Mass Blend Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_rad:         Stellar Radius [Solar radii],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_radlim:      Stellar Radius Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_radblend:    Stellar Radius Blend Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rowid,pl_hostname,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_massblend,st_rad,st_raderr1,st_raderr2,st_radlim,st_radblend,pl_ecos_omegabar,pl_ecos_omegabarerr1,pl_ecos_omegabarerr2,pl_esin_omegabar,pl_esin_omegabarerr1,pl_esin_omegabarerr2,notes
1900,Kepler-197,4,15.677563,0.000096,-0.000096,0,,,,,,,,,,,,,,0.109,0.009,-0.009,0,,,,,,1.12,0.03,-0.03,0,0,,,,,,,None
1901,Kepler-197,4,25.209715,0.000387,-0.000387,0,,,,,,,,,,,,,,0.081,0.004,-0.004,0,,,,,,1.12,0.03,-0.03,0,0,,,,,,,None
1932,Kepler-208,4,4.22864,0.000018,-0.000018,0,,,,,,,,,,,,,,0.145,0.027,-0.027,0,1.03,,,0,0,1.31,0.24,-0.24,0,0,,,,,,,None
1933,Kepler-208,4,7.466623,0.000067,-0.000067,0,,,,,,,,,,,,,,0.124,0.023,-0.023,0,1.03,,,0,0,1.31,0.24,-0.24,0,0,,,,,,,None
1934,Kepler-208,4,11.131786,0.000131,-0.000131,0,,,,,,,,,,,,,,0.107,0.021,-0.021,0,1.03,,,0,0,1.31,0.24,-0.24,0,0,,,,,,,None
1935,Kepler-208,4,16.259458,0.000176,-0.000176,0,,,,,,,,,,,,,,0.132,0.025,-0.025,0,1.03,,,0,0,1.31,0.24,-0.24,0,0,,,,,,,None
1949,Kepler-215,4,9.360672,0.00004,-0.00004,0,,,,,,,,,,,,,,0.145,0.036,-0.036,0,0.77,,,0,0,1.03,0.24,-0.24,0,0,,,,,,,None
1950,Kepler-215,4,14.667108,0.000089,-0.000089,0,,,,,,,,,,,,,,0.158,0.037,-0.037,0,0.77,,,0,0,1.03,0.24,-0.24,0,0,,,,,,,None
1951,Kepler-215,4,30.864423,0.000092,-0.000092,0,,,,,,,,,,,,,,0.213,0.049,-0.049,0,0.77,,,0,0,1.03,0.24,-0.24,0,0,,,,,,,None
1952,Kepler-215,4,68.16101,0.00063,-0.00063,0,,,,,,,,,,,,,,0.156,0.037,-0.037,0,0.77,,,0,0,1.03,0.24,-0.24,0,0,,,,,,,None
1965,Kepler-220,4,4.159807,0.00001,-0.00001,0,,,,,,,,,,,,,,0.072,0.004,-0.004,0,,,,,,0.67,0.03,-0.03,0,0,,,,,,,None
1966,Kepler-220,4,9.034199,0.000009,-0.000009,0,,,,,,,,,,,,,,0.14,0.008,-0.008,0,,,,,,0.67,0.03,-0.03,0,0,,,,,,,None
1967,Kepler-220,4,28.122397,0.000162,-0.000162,0,,,,,,,,,,,,,,0.087,0.005,-0.005,0,,,,,,0.67,0.03,-0.03,0,0,,,,,,,None
1968,Kepler-220,4,45.902733,0.000192,-0.000192,0,,,,,,,,,,,,,,0.119,0.011,-0.011,0,,,,,,0.67,0.03,-0.03,0,0,,,,,,,None
1969,Kepler-221,4,2.795906,0.000004,-0.000004,0,,,,,,,,,,,,,,0.153,0.015,-0.015,0,0.72,,,0,0,0.82,0.07,-0.07,0,0,,,,,,,None
1970,Kepler-221,4,5.690586,0.000004,-0.000004,0,,,,,,,,,,,,,,0.261,0.024,-0.024,0,0.72,,,0,0,0.82,0.07,-0.07,0,0,,,,,,,None
1971,Kepler-221,4,10.04156,0.000011,-0.000011,0,,,,,,,,,,,,,,0.244,0.022,-0.022,0,0.72,,,0,0,0.82,0.07,-0.07,0,0,,,,,,,None
1972,Kepler-221,4,18.369917,0.000029,-0.000029,0,,,,,,,,,,,,,,0.235,0.022,-0.022,0,0.72,,,0,0,0.82,0.07,-0.07,0,0,,,,,,,None
1976,Kepler-223,4,7.38449,0.00022,-0.00022,0,0.078,0.015,-0.017,0,90,,-1.8,0,0.02328,0.00409,-0.00346,0,Mass,0.267,0.016,-0.024,0,1.12,0.09,-0.07,0,0,1.72,0.07,-0.14,0,0,,,,,,,None
1977,Kepler-223,4,9.84564,0.00052,-0.00051,0,0.15,0.019,-0.051,0,90,,-1.3,0,0.01605,0.00535,-0.00346,0,Mass,0.307,0.018,-0.027,0,1.12,0.09,-0.07,0,0,1.72,0.07,-0.14,0,0,,,,,,,None
1978,Kepler-223,4,14.78869,0.0003,-0.00027,0,0.037,0.018,-0.017,0,87.94,0.32,-0.26,0,0.02517,0.00472,-0.00409,0,Mass,0.467,0.023,-0.04,0,1.12,0.09,-0.07,0,0,1.72,0.07,-0.14,0,0,,,,,,,None
1979,Kepler-223,4,19.72567,0.00055,-0.00054,0,0.051,0.019,-0.019,0,88,0.27,-0.21,0,0.0151,0.0044,-0.00378,0,Mass,0.41,0.024,-0.037,0,1.12,0.09,-0.07,0,0,1.72,0.07,-0.14,0,0,,,,,,,None
1980,Kepler-224,4,3.132924,0.000014,-0.000014,0,,,,,,,,,,,,,,0.124,0.008,-0.008,0,0.74,,,0,0,0.68,0.04,-0.04,0,0,,,,,,,None
1981,Kepler-224,4,5.925003,0.00001,-0.00001,0,,,,,,,,,,,,,,0.278,0.023,-0.023,0,0.74,,,0,0,0.68,0.04,-0.04,0,0,,,,,,,None
1982,Kepler-224,4,11.349393,0.000034,-0.000034,0,,,,,,,,,,,,,,0.205,0.012,-0.012,0,0.74,,,0,0,0.68,0.04,-0.04,0,0,,,,,,,None
1983,Kepler-224,4,18.643577,0.000087,-0.000087,0,,,,,,,,,,,,,,0.176,0.013,-0.013,0,0.74,,,0,0,0.68,0.04,-0.04,0,0,,,,,,,None
2010,Kepler-235,4,3.340222,0.000005,-0.000005,0,,,,,,,,,,,,,,0.199,0.009,-0.009,0,0.59,,,0,0,0.55,0.02,-0.02,0,0,,,,,,,None
2011,Kepler-235,4,7.824904,0.000055,-0.000055,0,,,,,,,,,,,,,,0.114,0.007,-0.007,0,0.59,,,0,0,0.55,0.02,-0.02,0,0,,,,,,,None
2012,Kepler-235,4,20.060548,0.000099,-0.000099,0,,,,,,,,,,,,,,0.183,0.009,-0.009,0,0.59,,,0,0,0.55,0.02,-0.02,0,0,,,,,,,None
2013,Kepler-235,4,46.183669,0.000425,-0.000425,0,,,,,,,,,,,,,,0.198,0.026,-0.026,0,0.59,,,0,0,0.55,0.02,-0.02,0,0,,,,,,,None
2025,Kepler-24,4,8.1453,,,0,,,,,,,,,1.6,,,1,Mass,0.214,,,0,1.03,0.11,-0.14,0,0,1.29,0.29,-0.29,0,0,,,,,,,None
2026,Kepler-24,4,12.3335,,,0,,,,,,,,,1.6,,,1,Mass,0.25,,,0,1.03,0.11,-0.14,0,0,1.29,0.29,-0.29,0,0,,,,,,,None
2027,Kepler-24,4,4.244384,0.000053,-0.000053,0,,,,,,,,,,,,,,0.149,0.035,-0.035,0,1.03,0.11,-0.14,0,0,1.29,0.29,-0.29,0,0,,,,,,,None
2028,Kepler-24,4,18.998355,0.000157,-0.000157,0,,,,,,,,,,,,,,0.248,0.057,-0.057,0,1.03,0.11,-0.14,0,0,1.29,0.29,-0.29,0,0,,,,,,,None
2040,Kepler-245,4,7.49019,0.000019,-0.000019,0,,,,,,,,,,,,,,0.229,0.016,-0.016,0,0.8,,,0,0,0.8,0.05,-0.05,0,0,,,,,,,None
2041,Kepler-245,4,17.460812,0.000076,-0.000076,0,,,,,,,,,,,,,,0.194,0.015,-0.015,0,0.8,,,0,0,0.8,0.05,-0.05,0,0,,,,,,,None
2042,Kepler-245,4,36.277108,0.000173,-0.000173,0,,,,,,,,,,,,,,0.27,0.019,-0.019,0,0.8,,,0,0,0.8,0.05,-0.05,0,0,,,,,,,None
2043,Kepler-245,4,3.21982106,0.00000474,-0.00000474,0,,,,,,,,,,,,,,0.156,0.007,-0.005,0,0.8,,,0,0,0.8,0.05,-0.05,0,0,,,,,,,None
2060,Kepler-251,4,4.790936,0.000037,-0.000037,0,,,,,,,,,,,,,,0.119,0.021,-0.021,0,0.91,,,0,0,0.89,0.15,-0.15,0,0,,,,,,,None
2061,Kepler-251,4,16.514043,0.000054,-0.000054,0,,,,,,,,,,,,,,0.247,0.044,-0.044,0,0.91,,,0,0,0.89,0.15,-0.15,0,0,,,,,,,None
2062,Kepler-251,4,30.133001,0.000161,-0.000161,0,,,,,,,,,,,,,,0.247,0.044,-0.044,0,0.91,,,0,0,0.89,0.15,-0.15,0,0,,,,,,,None
2063,Kepler-251,4,99.640161,0.001074,-0.001074,0,,,,,,,,,,,,,,0.247,0.044,-0.044,0,0.91,,,0,0,0.89,0.15,-0.15,0,0,,,,,,,None
2075,Kepler-256,4,1.620493,0.000009,-0.000009,0,,,,,,,,,,,,,,0.142,0.035,-0.035,0,1.02,,,0,0,1.3,0.32,-0.32,0,0,,,,,,,None
2076,Kepler-256,4,3.38802,0.000016,-0.000016,0,,,,,,,,,,,,,,0.192,0.047,-0.047,0,1.02,,,0,0,1.3,0.32,-0.32,0,0,,,,,,,None
2077,Kepler-256,4,5.839172,0.000031,-0.000031,0,,,,,,,,,,,,,,0.221,0.056,-0.056,0,1.02,,,0,0,1.3,0.32,-0.32,0,0,,,,,,,None
2078,Kepler-256,4,10.681572,0.000066,-0.000066,0,,,,,,,,,,,,,,0.21,0.052,-0.052,0,1.02,,,0,0,1.3,0.32,-0.32,0,0,,,,,,,None
2086,Kepler-26,4,12.28,0.0003,-0.0003,0,,,,,,,,,0.01611,0.00205,-0.00192,0,Mass,0.248,0.01,-0.01,0,0.54,0.03,-0.03,0,0,0.51,0.02,-0.02,0,0,,,,,,,None
2087,Kepler-26,4,17.2559,0.0006,-0.0006,0,,,,,,,,,0.01951,0.00205,-0.00205,0,Mass,0.243,0.011,-0.011,0,0.54,0.03,-0.03,0,0,0.51,0.02,-0.02,0,0,,,,,,,None
2088,Kepler-26,4,3.543919,0.000015,-0.000015,0,,,,,,,,,,,,,,0.095,0.005,-0.005,0,0.54,0.03,-0.03,0,0,0.51,0.02,-0.02,0,0,,,,,,,None
2089,Kepler-26,4,46.827915,0.000173,-0.000173,0,,,,,,,,,,,,,,0.215,0.013,-0.013,0,0.54,0.03,-0.03,0,0,0.51,0.02,-0.02,0,0,,,,,,,None
2100,Kepler-265,4,6.846262,0.000063,-0.000063,0,,,,,,,,,,,,,,0.166,0.04,-0.04,0,1.03,,,0,0,1.1,0.23,-0.23,0,0,,,,,,,None
2101,Kepler-265,4,17.028937,0.000136,-0.000136,0,,,,,,,,,,,,,,0.235,0.049,-0.049,0,1.03,,,0,0,1.1,0.23,-0.23,0,0,,,,,,,None
2102,Kepler-265,4,43.130617,0.000658,-0.000658,0,,,,,,,,,,,,,,0.222,0.048,-0.048,0,1.03,,,0,0,1.1,0.23,-0.23,0,0,,,,,,,None
2103,Kepler-265,4,67.831024,0.001396,-0.001396,0,,,,,,,,,,,,,,0.231,0.049,-0.049,0,1.03,,,0,0,1.1,0.23,-0.23,0,0,,,,,,,None
2146,Kepler-282,4,9.220524,0.000341,-0.000341,0,,,,,,,,,,,,,,0.09,0.022,-0.022,0,0.97,0.1,-0.12,0,0,0.9,0.21,-0.21,0,0,,,,,,,None
2147,Kepler-282,4,13.638723,0.000491,-0.000491,0,,,,,,,,,,,,,,0.107,0.026,-0.026,0,0.97,0.1,-0.12,0,0,0.9,0.21,-0.21,0,0,,,,,,,None
2148,Kepler-282,4,24.806,,,0,,,,,,,,,0.192,0.113,-0.114,0,Mass,0.219,0.089,-0.018,0,0.97,0.1,-0.12,0,0,0.9,0.21,-0.21,0,0,,,,,,,None
2149,Kepler-282,4,44.347,,,0,,,,,,,,,0.177,0.051,-0.053,0,Mass,0.277,0.112,-0.022,0,0.97,0.1,-0.12,0,0,0.9,0.21,-0.21,0,0,,,,,,,None
2156,Kepler-286,4,1.796302,0.000009,-0.000009,0,,,,,,,,,,,,,,0.111,0.022,-0.022,0,,,,,,0.86,0.17,-0.17,0,0,,,,,,,None
2157,Kepler-286,4,3.468095,0.000023,-0.000023,0,,,,,,,,,,,,,,0.122,0.024,-0.024,0,,,,,,0.86,0.17,-0.17,0,0,,,,,,,None
2158,Kepler-286,4,5.914323,0.000054,-0.000054,0,,,,,,,,,,,,,,0.119,0.024,-0.024,0,,,,,,0.86,0.17,-0.17,0,0,,,,,,,None
2159,Kepler-286,4,29.221289,0.00037,-0.00037,0,,,,,,,,,,,,,,0.158,0.038,-0.038,0,,,,,,0.86,0.17,-0.17,0,0,,,,,,,None
2196,Kepler-299,4,2.927128,0.000033,-0.000033,0,,,,,,,,,,,,,,0.118,0.024,-0.024,0,0.97,,,0,0,1.03,0.21,-0.21,0,0,,,,,,,None
2197,Kepler-299,4,6.885875,0.00004,-0.00004,0,,,,,,,,,,,,,,0.236,0.056,-0.056,0,0.97,,,0,0,1.03,0.21,-0.21,0,0,,,,,,,None
2198,Kepler-299,4,15.054786,0.000189,-0.000189,0,,,,,,,,,,,,,,0.166,0.034,-0.034,0,0.97,,,0,0,1.03,0.21,-0.21,0,0,,,,,,,None
2199,Kepler-299,4,38.285489,0.001428,-0.001428,0,,,,,,,,,,,,,,0.167,0.035,-0.035,0,0.97,,,0,0,1.03,0.21,-0.21,0,0,,,,,,,None
2212,Kepler-304,4,3.295709,0.000002,-0.000002,0,,,,,,,,,,,,,,0.255,0.019,-0.019,0,0.8,,,0,0,0.69,0.04,-0.04,0,0,,,,,,,None
2213,Kepler-304,4,5.315946,0.000007,-0.000007,0,,,,,,,,,,,,,,0.194,0.013,-0.013,0,0.8,,,0,0,0.69,0.04,-0.04,0,0,,,,,,,None
2214,Kepler-304,4,9.653471,0.000015,-0.000015,0,,,,,,,,,,,,,,0.245,0.019,-0.019,0,0.8,,,0,0,0.69,0.04,-0.04,0,0,,,,,,,None
2215,Kepler-304,4,1.49914695,0.0000028,-0.0000028,0,,,,,,,,,,,,,,0.107,0.005,-0.003,0,0.8,,,0,0,0.69,0.04,-0.04,0,0,,,,,,,None
2219,Kepler-306,4,4.646186,0.000025,-0.000025,0,,,,,,,,,,,,,,0.136,0.009,-0.009,0,0.82,,,0,0,0.72,0.04,-0.04,0,0,,,,,,,None
2220,Kepler-306,4,7.240193,0.000032,-0.000032,0,,,,,,,,,,,,,,0.21,0.017,-0.017,0,0.82,,,0,0,0.72,0.04,-0.04,0,0,,,,,,,None
2221,Kepler-306,4,17.326644,0.000137,-0.000137,0,,,,,,,,,,,,,,0.22,0.021,-0.021,0,0.82,,,0,0,0.72,0.04,-0.04,0,0,,,,,,,None
2222,Kepler-306,4,44.840975,0.000439,-0.000439,0,,,,,,,,,,,,,,0.203,0.013,-0.013,0,0.82,,,0,0,0.72,0.04,-0.04,0,0,,,,,,,None
2307,Kepler-338,4,13.726976,0.000059,-0.000059,0,,,,,,,,,,,,,,0.218,0.012,-0.012,0,1.1,,,0,0,1.74,0.08,-0.08,0,0,,,,,,,None
2308,Kepler-338,4,24.310856,0.000158,-0.000158,0,,,,,,,,,,,,,,0.209,0.011,-0.011,0,1.1,,,0,0,1.74,0.08,-0.08,0,0,,,,,,,None
2309,Kepler-338,4,44.431014,0.000368,-0.000368,0,,,,,,,,,,,,,,0.268,0.025,-0.025,0,1.1,,,0,0,1.74,0.08,-0.08,0,0,,,,,,,None
2310,Kepler-338,4,9.341,,,0,,,,,,,,,0.027,0.023,-0.02,0,Mass,0.139,0.006,-0.006,0,1.1,,,0,0,1.74,0.08,-0.08,0,0,,,,,,,None
2317,Kepler-341,4,5.195528,0.000053,-0.000053,0,,,,,,,,,,,,,,0.105,0.055,-0.055,0,0.94,,,0,0,1.02,0.52,-0.52,0,0,,,,,,,None
2318,Kepler-341,4,8.01041,0.000049,-0.000049,0,,,,,,,,,,,,,,0.152,0.077,-0.077,0,0.94,,,0,0,1.02,0.52,-0.52,0,0,,,,,,,None
2319,Kepler-341,4,27.666313,0.000297,-0.000297,0,,,,,,,,,,,,,,0.165,0.084,-0.084,0,0.94,,,0,0,1.02,0.52,-0.52,0,0,,,,,,,None
2320,Kepler-341,4,42.473269,0.000633,-0.000633,0,,,,,,,,,,,,,,0.178,0.092,-0.092,0,0.94,,,0,0,1.02,0.52,-0.52,0,0,,,,,,,None
2321,Kepler-342,4,15.170318,0.000059,-0.000059,0,,,,,,,,,,,,,,0.201,0.036,-0.036,0,1.13,,,0,0,1.47,0.26,-0.26,0,0,,,,,,,None
2322,Kepler-342,4,26.234138,0.000163,-0.000163,0,,,,,,,,,,,,,,0.175,0.031,-0.031,0,1.13,,,0,0,1.47,0.26,-0.26,0,0,,,,,,,None
2323,Kepler-342,4,39.459357,0.000375,-0.000375,0,,,,,,,,,,,,,,0.222,0.043,-0.043,0,1.13,,,0,0,1.47,0.26,-0.26,0,0,,,,,,,None
2324,Kepler-342,4,1.64422461,0.00000621,-0.00000621,0,,,,,,,,,,,,,,0.079,0.007,-0.005,0,1.13,,,0,0,1.47,0.26,-0.26,0,0,,,,,,,None
2388,Kepler-37,4,13.3675,,,0,,,,,,,,,0.03146,,,1,Mass,0.029,0.002,-0.002,0,0.8,0.07,-0.07,0,0,0.77,0.03,-0.03,0,0,,,,,,,None
2389,Kepler-37,4,21.302,,,0,,,,,,,,,0.03776,,,1,Mass,0.067,0.003,-0.003,0,0.8,0.07,-0.07,0,0,0.77,0.03,-0.03,0,0,,,,,,,None
2390,Kepler-37,4,39.7922,,,0,,,,,,,,,0.03839,,,1,Mass,0.173,0.005,-0.005,0,0.8,0.07,-0.07,0,0,0.77,0.03,-0.03,0,0,,,,,,,None
2391,Kepler-37,4,51.196,,,0,,,,,,,,,,,,,,,,,,0.8,0.07,-0.07,0,0,0.77,0.03,-0.03,0,0,,,,,,,None
2465,Kepler-402,4,4.028751,0.000019,-0.000019,0,,,,,,,,,,,,,,0.109,0.021,-0.021,0,,,,,,1.26,0.24,-0.24,0,0,,,,,,,None
2466,Kepler-402,4,6.124821,0.000026,-0.000026,0,,,,,,,,,,,,,,0.139,0.031,-0.031,0,,,,,,1.26,0.24,-0.24,0,0,,,,,,,None
2467,Kepler-402,4,8.921099,0.000056,-0.000056,0,,,,,,,,,,,,,,0.123,0.024,-0.024,0,,,,,,1.26,0.24,-0.24,0,0,,,,,,,None
2468,Kepler-402,4,11.242861,0.000059,-0.000059,0,,,,,,,,,,,,,,0.13,0.026,-0.026,0,,,,,,1.26,0.24,-0.24,0,0,,,,,,,None
2580,Kepler-48,4,4.778,,,0,,,,,,,,,0.0124,0.00661,-0.00661,0,Mass,0.168,0.009,-0.009,0,0.88,0.06,-0.06,0,0,0.89,0.05,-0.05,0,0,,,,,,,None
2581,Kepler-48,4,9.67395,,,0,,,,,,,,,0.04597,0.00724,-0.00724,0,Mass,0.242,0.012,-0.012,0,0.88,0.06,-0.06,0,0,0.89,0.05,-0.05,0,0,,,,,,,None
2582,Kepler-48,4,42.8961,,,0,,,,,,,,,0.025,0.0145,-0.0145,0,Mass,0.182,0.01,-0.01,0,0.88,0.06,-0.06,0,0,0.89,0.05,-0.05,0,0,,,,,,,None
2583,Kepler-48,4,982,8,-8,0,,,,,,,,,2.067,0.079,-0.079,0,Mass,,,,,0.88,0.06,-0.06,0,0,0.89,0.05,-0.05,0,0,,,,,,,None
2595,Kepler-49,4,7.2037945,0.000022,-0.000022,0,,,,,,,,,0.98,,,1,Mass,0.243,,,0,0.55,,,0,0,0.56,0.02,-0.02,0,0,,,,,,,None
2596,Kepler-49,4,10.9129343,0.000069,-0.000069,0,,,,,,,,,0.72,,,1,Mass,0.227,,,0,0.55,,,0,0,0.56,0.02,-0.02,0,0,,,,,,,None
2597,Kepler-49,4,2.576549,0.000003,-0.000003,0,,,,,,,,,,,,,,0.143,0.006,-0.006,0,0.55,,,0,0,0.56,0.02,-0.02,0,0,,,,,,,None
2598,Kepler-49,4,18.596108,0.000079,-0.000079,0,,,,,,,,,,,,,,0.139,0.007,-0.007,0,0.55,,,0,0,0.56,0.02,-0.02,0,0,,,,,,,None
2941,Kepler-758,4,12.1097104,0.00007142,-0.00007142,0,,,,,,,,,,,,,,0.221,0.049,-0.036,0,1.16,0.12,-0.08,0,0,1.42,0.31,-0.23,0,0,,,,,,,None
2942,Kepler-758,4,4.75793986,0.00003846,-0.00003846,0,,,,,,,,,,,,,,0.151,0.033,-0.026,0,1.16,0.12,-0.08,0,0,1.42,0.31,-0.23,0,0,,,,,,,None
2943,Kepler-758,4,20.4966197,0.0002282,-0.0002282,0,,,,,,,,,,,,,,0.189,0.042,-0.029,0,1.16,0.12,-0.08,0,0,1.42,0.31,-0.23,0,0,,,,,,,None
2944,Kepler-758,4,8.1934719,0.0001036,-0.0001036,0,,,,,,,,,,,,,,0.136,0.029,-0.022,0,1.16,0.12,-0.08,0,0,1.42,0.31,-0.23,0,0,,,,,,,None
2983,Kepler-79,4,13.4845,0.0002,-0.0002,0,0.015,0.012,-0.006,0,88.78,0.07,-0.09,0,0.0343,0.023,-0.019,0,Mass,0.31,0.006,-0.006,0,1.17,0.04,-0.04,0,0,1.3,0.03,-0.03,0,0,,,,,,,None
2984,Kepler-79,4,27.4029,0.0008,-0.0006,0,0.03,0.027,-0.021,0,89.48,0.07,-0.09,0,0.019,0.006,-0.0072,0,Mass,0.332,0.007,-0.007,0,1.17,0.04,-0.04,0,0,1.3,0.03,-0.03,0,0,,,,,,,None
2985,Kepler-79,4,52.0902,0.0009,-0.001,0,0.025,0.059,-0.023,0,89.93,0.07,-0.03,0,0.019,0.0066,-0.005,0,Mass,0.639,0.012,-0.014,0,1.17,0.04,-0.04,0,0,1.3,0.03,-0.03,0,0,,,,,,,None
2986,Kepler-79,4,81.0659,0.0013,-0.0011,0,0.012,0.044,-0.005,0,89.13,0.02,-0.02,0,0.013,0.0038,-0.0035,0,Mass,0.311,0.012,-0.012,0,1.17,0.04,-0.04,0,0,1.3,0.03,-0.03,0,0,,,,,,,None
3027,Kepler-82,4,26.444,,,0,,,,,,,,,,,,,,0.357,0.162,-0.162,0,0.85,1.66,-0.63,0,0,0.94,0.14,-0.14,0,0,,,,,,,None
3028,Kepler-82,4,51.538,,,0,,,,,,,,,,,,,,0.477,0.218,-0.218,0,0.85,1.66,-0.63,0,0,0.94,0.14,-0.14,0,0,,,,,,,None
